CustomerID,Country
15862.0,United Kingdom
14307.0,United Kingdom
17920.0,United Kingdom
15012.0,United Kingdom
15485.0,United Kingdom
12433.0,Norway
15165.0,United Kingdom
17760.0,United Kingdom
16928.0,United Kingdom
16835.0,United Kingdom
15235.0,United Kingdom
15601.0,United Kingdom
14388.0,United Kingdom
16916.0,United Kingdom
16781.0,United Kingdom
13138.0,United Kingdom
17838.0,United Kingdom
13402.0,United Kingdom
16754.0,United Kingdom
12738.0,Germany
17552.0,United Kingdom
14083.0,United Kingdom
17787.0,United Kingdom
16140.0,United Kingdom
16327.0,United Kingdom
15880.0,United Kingdom
12748.0,United Kingdom
14527.0,United Kingdom
14161.0,United Kingdom
15426.0,United Kingdom
14081.0,United Kingdom
14404.0,United Kingdom
13174.0,United Kingdom
15039.0,United Kingdom
14189.0,United Kingdom
16898.0,United Kingdom
17596.0,United Kingdom
16919.0,United Kingdom
15356.0,United Kingdom
13030.0,United Kingdom
17191.0,United Kingdom
17720.0,United Kingdom
12839.0,United Kingdom
15081.0,United Kingdom
18077.0,United Kingdom
16893.0,United Kingdom
15021.0,United Kingdom
16016.0,United Kingdom
17722.0,United Kingdom
14051.0,United Kingdom
17340.0,United Kingdom
14030.0,United Kingdom
16700.0,United Kingdom
16782.0,United Kingdom
13369.0,United Kingdom
16065.0,United Kingdom
13117.0,United Kingdom
17456.0,United Kingdom
15596.0,United Kingdom
17841.0,United Kingdom
14702.0,United Kingdom
17827.0,United Kingdom
14037.0,United Kingdom
14911.0,EIRE
15514.0,United Kingdom
13787.0,United Kingdom
16873.0,United Kingdom
14062.0,United Kingdom
16923.0,United Kingdom
17085.0,United Kingdom
14413.0,United Kingdom
18004.0,United Kingdom
14505.0,United Kingdom
16701.0,United Kingdom
14565.0,United Kingdom
17969.0,United Kingdom
14961.0,United Kingdom
13178.0,United Kingdom
18144.0,United Kingdom
16899.0,United Kingdom
14415.0,United Kingdom
16805.0,United Kingdom
13846.0,United Kingdom
15512.0,United Kingdom
13458.0,United Kingdom
16003.0,United Kingdom
13092.0,United Kingdom
15641.0,United Kingdom
16985.0,United Kingdom
18055.0,United Kingdom
17062.0,United Kingdom
15379.0,United Kingdom
16560.0,United Kingdom
13627.0,United Kingdom
12395.0,Belgium
12668.0,Germany
17358.0,United Kingdom
15581.0,United Kingdom
15640.0,United Kingdom
12377.0,Switzerland
14769.0,United Kingdom
17593.0,United Kingdom
17894.0,United Kingdom
16725.0,United Kingdom
14553.0,United Kingdom
16241.0,United Kingdom
15498.0,United Kingdom
16145.0,United Kingdom
15841.0,United Kingdom
13089.0,United Kingdom
16771.0,United Kingdom
15464.0,United Kingdom
15719.0,United Kingdom
17634.0,United Kingdom
12413.0,France
14312.0,United Kingdom
17428.0,United Kingdom
14031.0,United Kingdom
12481.0,Germany
13680.0,United Kingdom
12501.0,Germany
14298.0,United Kingdom
12484.0,Spain
13069.0,United Kingdom
17800.0,United Kingdom
17218.0,United Kingdom
13451.0,United Kingdom
12539.0,Spain
17811.0,United Kingdom
15326.0,United Kingdom
17849.0,United Kingdom
13107.0,United Kingdom
17406.0,United Kingdom
12393.0,Australia
13468.0,United Kingdom
15346.0,United Kingdom
17365.0,United Kingdom
18095.0,United Kingdom
13862.0,United Kingdom
16791.0,United Kingdom
16655.0,United Kingdom
14587.0,United Kingdom
17338.0,United Kingdom
14167.0,United Kingdom
17364.0,United Kingdom
15290.0,United Kingdom
12490.0,France
13385.0,United Kingdom
15615.0,United Kingdom
12553.0,France
12877.0,United Kingdom
15570.0,United Kingdom
16059.0,United Kingdom
17609.0,United Kingdom
18223.0,United Kingdom
13769.0,United Kingdom
18179.0,United Kingdom
18212.0,United Kingdom
15023.0,United Kingdom
17708.0,United Kingdom
17097.0,Spain
17602.0,United Kingdom
16395.0,United Kingdom
12637.0,France
14713.0,United Kingdom
14646.0,Netherlands
16085.0,United Kingdom
13230.0,United Kingdom
13798.0,United Kingdom
13158.0,United Kingdom
15218.0,United Kingdom
16757.0,United Kingdom
13198.0,United Kingdom
16222.0,United Kingdom
13168.0,United Kingdom
16422.0,United Kingdom
12474.0,Germany
17027.0,United Kingdom
15227.0,United Kingdom
16496.0,United Kingdom
13004.0,United Kingdom
13328.0,United Kingdom
14541.0,United Kingdom
15311.0,United Kingdom
17180.0,United Kingdom
15057.0,United Kingdom
12574.0,France
12431.0,Australia
15415.0,United Kingdom
12731.0,France
17373.0,United Kingdom
18145.0,United Kingdom
17068.0,United Kingdom
13408.0,United Kingdom
15058.0,United Kingdom
14606.0,United Kingdom
16705.0,United Kingdom
18202.0,United Kingdom
16110.0,United Kingdom
15589.0,United Kingdom
17560.0,United Kingdom
15046.0,United Kingdom
15421.0,United Kingdom
17223.0,United Kingdom
17337.0,United Kingdom
13394.0,United Kingdom
13102.0,United Kingdom
16684.0,United Kingdom
12662.0,Germany
13208.0,United Kingdom
13488.0,United Kingdom
12842.0,United Kingdom
14194.0,United Kingdom
13050.0,United Kingdom
13584.0,United Kingdom
15808.0,United Kingdom
12599.0,France
16713.0,United Kingdom
16951.0,United Kingdom
12753.0,Japan
17537.0,United Kingdom
17850.0,United Kingdom
13894.0,United Kingdom
15544.0,United Kingdom
14796.0,United Kingdom
12477.0,Germany
13875.0,United Kingdom
17126.0,United Kingdom
17472.0,United Kingdom
12867.0,United Kingdom
14849.0,United Kingdom
17348.0,United Kingdom
14156.0,EIRE
14825.0,United Kingdom
16019.0,United Kingdom
14180.0,United Kingdom
12372.0,Denmark
16875.0,United Kingdom
14755.0,United Kingdom
17083.0,United Kingdom
18125.0,United Kingdom
14211.0,United Kingdom
12852.0,United Kingdom
15228.0,United Kingdom
14162.0,United Kingdom
17214.0,United Kingdom
13301.0,United Kingdom
13744.0,United Kingdom
17050.0,United Kingdom
14502.0,United Kingdom
12707.0,France
15129.0,United Kingdom
15321.0,United Kingdom
12621.0,Germany
16546.0,United Kingdom
17075.0,United Kingdom
18114.0,United Kingdom
13184.0,United Kingdom
14276.0,United Kingdom
15605.0,United Kingdom
14978.0,United Kingdom
16940.0,United Kingdom
15590.0,United Kingdom
14231.0,United Kingdom
13870.0,United Kingdom
13666.0,United Kingdom
17663.0,United Kingdom
15078.0,United Kingdom
14573.0,United Kingdom
14810.0,United Kingdom
17516.0,United Kingdom
14036.0,United Kingdom
12598.0,France
16607.0,United Kingdom
14046.0,United Kingdom
14740.0,United Kingdom
12428.0,Finland
15241.0,United Kingdom
17965.0,United Kingdom
14506.0,United Kingdom
15984.0,United Kingdom
14292.0,United Kingdom
16128.0,United Kingdom
15622.0,United Kingdom
15643.0,United Kingdom
15636.0,United Kingdom
16217.0,United Kingdom
16709.0,United Kingdom
17789.0,United Kingdom
13014.0,United Kingdom
14447.0,United Kingdom
15358.0,United Kingdom
16033.0,United Kingdom
17107.0,United Kingdom
12708.0,Germany
13344.0,United Kingdom
17381.0,United Kingdom
14214.0,United Kingdom
13001.0,United Kingdom
15026.0,United Kingdom
15834.0,United Kingdom
12528.0,Germany
14367.0,United Kingdom
12679.0,France
14426.0,United Kingdom
14507.0,United Kingdom
12881.0,United Kingdom
15502.0,United Kingdom
14344.0,United Kingdom
14291.0,United Kingdom
13502.0,United Kingdom
16625.0,United Kingdom
14727.0,United Kingdom
14913.0,United Kingdom
12520.0,Germany
13654.0,United Kingdom
16766.0,United Kingdom
16801.0,United Kingdom
13226.0,United Kingdom
17611.0,United Kingdom
16005.0,United Kingdom
13263.0,United Kingdom
16037.0,United Kingdom
17080.0,United Kingdom
16214.0,United Kingdom
18183.0,United Kingdom
16383.0,United Kingdom
12472.0,Germany
13591.0,United Kingdom
15019.0,United Kingdom
18270.0,United Kingdom
16023.0,United Kingdom
16115.0,United Kingdom
15452.0,United Kingdom
17230.0,United Kingdom
14762.0,United Kingdom
12423.0,Belgium
17865.0,United Kingdom
15132.0,United Kingdom
17733.0,United Kingdom
17019.0,United Kingdom
17486.0,United Kingdom
15644.0,United Kingdom
14075.0,United Kingdom
17491.0,United Kingdom
17059.0,United Kingdom
16904.0,United Kingdom
14235.0,United Kingdom
17754.0,United Kingdom
17450.0,United Kingdom
16905.0,United Kingdom
13097.0,United Kingdom
16780.0,United Kingdom
14472.0,United Kingdom
17625.0,United Kingdom
13357.0,United Kingdom
14476.0,United Kingdom
13110.0,United Kingdom
12594.0,Italy
14766.0,United Kingdom
12957.0,United Kingdom
17238.0,United Kingdom
14128.0,United Kingdom
15628.0,United Kingdom
13588.0,United Kingdom
14099.0,United Kingdom
16657.0,United Kingdom
16788.0,United Kingdom
14272.0,United Kingdom
13082.0,United Kingdom
16092.0,United Kingdom
17400.0,United Kingdom
16398.0,United Kingdom
15856.0,United Kingdom
13225.0,United Kingdom
